route,carbon_footprint
Y8,943509.8118522849
Y2,882681.1233165471
Z2,560747.8882819058
Q2,1367080.6561198568
Q1,1276924.4755236532
Q6,739087.0525381959
Q5,1018472.7389821947
Y7,490334.72502344183
Z7,1269765.6978245983
Z6,1647032.4674749842
89M,535142.9914941051
Z8,3502916.9977144394
L8,335309.0779385905
T2,1038105.3309074289
Q4,966316.5767766646
C8,3541975.7994335103
C4,2537790.1904944987
R2,1351677.7342935102
M99,
C2,3848902.9426168157
86,460919.0025474959
K6,1569468.4350292361
J1,1516411.1204370414
J2,3144035.718879665
83,668180.7525741896
B22,1920606.9162913263
B21,991631.7965238481
B27,352066.2816334199
G12,598288.6095974796
G14,1317213.1825441767
R12,749395.8414967704
R1,537463.9078637213
F4,4558180.594464881
70,594493.3826869817
79,517317.0147151042
S9,683337.4058094065
S2,754926.8620966014
F8,892219.8180822852
F6,643779.5222769124
D31,
B24,843106.6773273136
62,219882.63768379315
59,478855.6064881097
63,452979.64297365
54,862532.3952354267
K2,219606.99418474548
F2,1726266.504024853
52,924583.6027142876
F1,906789.9760564275
R4,395518.36726825096
M4,425152.429020381
T14,1985037.522018833
L2,405458.61179349833
E4,1579063.0126106744
F13,487288.7004524576
5A,
W45,
D33,
D34,
30N,
30S,
33,1163259.2796981796
N6,675548.9515359348
31,270016.7877075833
D32,
64,368165.2983787007
T18,1774989.2896112662
80,3656968.2721369155
E2,202277.79950523088
B98,
F12,424963.5210448646
96,2283346.1109971823
W47,
H2,783496.0662764205
H4,989079.9679070248
L99,
F14,1092113.5230472125
H8,540838.7024992274
G8,808157.0325384566
A12,3405404.4455957115
H9,
H6,638841.727772566
23A,
B2,2531373.757460731
D6,840456.9390075254
23T,863421.6489221994
42,310780.501622161
43,305841.60096110014
D8,709835.4933812621
B99,
D2,501814.4345881179
S41,
90,1045448.2435283151
P6,1050951.7558465975
G2,342956.38146490685
28A,1808338.565526249
92,2422794.432460764
D4,482522.06753048423
D51,
X3,
U7,856990.7133076297
V14,613131.4713327698
W4,3852784.3881672337
C21,2568455.604899509
C22,1270335.7727178528
C29,
C26,460443.3428654346
X8,159518.40995931503
38B,942282.7962283638
U4,219722.48247600143
32,1163817.396264829
36,961670.7662434321
16E,783800.6869138277
X2,2391785.5925420197
74,131085.25184771843
V4,1332128.4725096652
V2,1277590.3676447528
X9,2242998.479015191
7Y,
U6,
U5,
A31,
V7,663178.0227429103
V8,211090.726958687
4B,491386.2492162319
3A,
V12,570903.2304156027
2A,443914.0949200441
J12,556250.4954876499
P12,3972551.088655647
S35,
1C,1001953.6768617458
2B,458609.1100501338
22A,372511.50707934966
10B,532656.4136584204
23B,511475.66054251126
1A,2191749.167033052
25B,1889145.0550973425
M6,380443.6863293635
29N,2653920.263181776
P99,
7A,1768691.8058605306
16C,567284.3445401622
16A,959284.8421742049
16H,626792.2043500307
16G,614835.000831833
10A,561921.6835866902
7M,812184.8097256802
22F,463910.567319504
7F,
A32,
A33,
17G,2415898.647221865
17H,
17B,
17M,1284189.0165783102
18P,2424904.337262872
29G,1499724.9944549631
W8,297482.0419000531
W6,219845.75194110733
W2,3368235.5702049485
W3,1937298.9451151553
MW1,575376.1393393977
W5,488222.7437060372
A4,1596790.2784163116
SH99,
A8,283650.40270231385
A2,1165712.3796789437
A7,290486.75253714627
A6,350348.44682617526
F99,
K12,1312134.5441677882
C12,623740.4325000796
C14,274079.0487140634
H12,403892.8655495878
D13,
D14,3362800.0753386184
29K,2815808.861777146
W1,512151.8768707934
D12,1347928.4609171026
P18,753898.1242852949
W14,1063802.137253947
NH1,709104.7604664442
C13,198021.44338223123
C11,187167.4486959164
NH2,633667.9089294608
REX,3764148.384357505
